"No.","Time","Source","Destination","Protocol","Length","Info"
"2119","47.609334","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2121","47.609625","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0xfcd7 A www.googleadservices.com A 142.251.221.34"
"2122","47.610015","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2123","47.610390","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2125","47.614176","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x8194 HTTPS www.googleadservices.com HTTPS"
"2128","47.621184","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f22eaa507aae429d, PKN: 1, ACK"
"2129","47.621879","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f22eaa507aae429d, PKN: 2, ACK, PADDING"
"2130","47.621879","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f22eaa507aae429d, PKN: 3, CRYPTO, PADDING"
"2131","47.621879","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f22eaa507aae429d, PKN: 4, CRYPTO, PADDING"
"2134","47.640520","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2137","47.641065","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0xbdfa A www.googleadservices.com A 142.251.221.34"
"2138","47.644816","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f22eaa507aae429d"
"2139","47.644816","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f22eaa507aae429d"
"2140","47.644816","142.251.221.34","192.168.32.32","QUIC","1265","Protected Payload (KP0)"
"2141","47.644816","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=f22eaa507aae429d"
"2147","47.646558","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0xc1b1 HTTPS www.googleadservices.com HTTPS"
"2150","47.650446","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2151","47.650446","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2154","47.650887","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2155","47.650887","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"2157","47.653350","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=ec254f521334d937, PKN: 1, ACK"
"2158","47.654206","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=ec254f521334d937, PKN: 2, ACK, PADDING"
"2159","47.654206","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=ec254f521334d937, PKN: 3, CRYPTO, PADDING"
"2160","47.654206","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=ec254f521334d937, PKN: 4, CRYPTO, PADDING"
"2166","47.676825","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=ec254f521334d937"
"2167","47.676825","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=ec254f521334d937"
"2168","47.676825","142.251.221.34","192.168.32.32","QUIC","1266","Protected Payload (KP0)"
"2169","47.676825","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=ec254f521334d937"
"2175","47.677848","142.251.220.194","192.168.32.32","UDP","80","443  >  63823 Len=38"
"2176","47.678020","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2177","47.678518","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2180","47.682614","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2181","47.682614","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2184","47.683114","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2185","47.683167","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"2187","47.700520","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2188","47.701001","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2190","47.702320","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2191","47.702604","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2192","47.703050","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2193","47.703050","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2196","47.707745","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2197","47.708064","142.251.220.194","192.168.32.32","UDP","76","443  >  63823 Len=34"
"2198","47.709142","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2200","47.709383","142.251.220.194","192.168.32.32","UDP","74","443  >  63823 Len=32"
"2201","47.709694","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2204","47.730401","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2205","47.730958","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2207","47.732015","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2208","47.732236","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2209","47.732439","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2210","47.732488","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2212","47.737390","142.251.220.194","192.168.32.32","UDP","74","443  >  63823 Len=32"
"2213","47.739877","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2214","47.740079","142.251.220.194","192.168.32.32","UDP","67","443  >  63823 Len=25"
"2216","47.759860","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2217","47.760447","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2220","47.769032","142.251.220.194","192.168.32.32","UDP","73","443  >  63823 Len=31"
"2222","47.792315","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"2223","47.792807","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"2225","47.800910","142.251.220.194","192.168.32.32","UDP","67","443  >  63823 Len=25"
"2227","48.454466","142.251.220.194","192.168.32.32","UDP","74","443  >  63823 Len=32"
"2229","48.480142","142.251.220.194","192.168.32.32","UDP","157","443  >  63823 Len=115"
"2230","48.480869","142.251.220.194","192.168.32.32","UDP","65","443  >  63823 Len=23"
"2232","48.488355","142.251.220.194","192.168.32.32","UDP","67","443  >  63823 Len=25"
"2236","50.539313","54.151.166.244","192.168.32.32","TCP","60","[TCP Keep-Alive] 443  >  49707 [ACK] Seq=1615 Ack=10605 Win=27 Len=0"
"2241","52.400765","172.64.148.235","192.168.32.32","TLSv1.2","78","Application Data"
"2243","52.434227","172.64.148.235","192.168.32.32","TCP","60","443  >  46924 [ACK] Seq=73 Ack=85 Win=16 Len=0"
"2246","52.576509","192.168.32.1","192.168.32.32","DNS","91","Standard query response 0x6abb A ssl.gstatic.com A 142.251.221.35"
"2247","52.576685","192.168.32.1","192.168.32.32","DNS","132","Standard query response 0x2000 HTTPS ssl.gstatic.com SOA ns1.google.com"
"2252","52.583749","142.251.221.35","192.168.32.32","QUIC","82","Initial, SCID=ee0debc4248db61f, PKN: 1, ACK"
"2253","52.583749","142.251.221.35","192.168.32.32","QUIC","1292","Initial, SCID=ee0debc4248db61f, PKN: 2, ACK, PADDING"
"2257","52.607252","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x6e4a A www.googleadservices.com A 142.251.221.34"
"2258","52.607367","142.251.221.35","192.168.32.32","QUIC","1292","Initial, SCID=ee0debc4248db61f, PKN: 3, CRYPTO, PADDING"
"2259","52.607476","142.251.221.35","192.168.32.32","QUIC","351","Protected Payload (KP0)"
"2260","52.607476","142.251.221.35","192.168.32.32","QUIC","983","Protected Payload (KP0)"
"2263","52.608069","142.251.221.35","192.168.32.32","QUIC","68","Protected Payload (KP0)"
"2264","52.608069","142.251.221.35","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2265","52.608668","142.251.221.35","192.168.32.32","QUIC","64","Protected Payload (KP0)"
"2267","52.610266","142.251.221.35","192.168.32.32","QUIC","1292","Initial, SCID=ee0debc4248db61f, PKN: 10, ACK, CRYPTO, PADDING"
"2268","52.612496","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x1298 HTTPS www.googleadservices.com HTTPS"
"2269","52.613110","142.251.221.35","192.168.32.32","QUIC","162","Protected Payload (KP0)"
"2273","52.619445","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f6a8c28678ff17f4, PKN: 1, ACK"
"2274","52.620191","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f6a8c28678ff17f4, PKN: 2, ACK, PADDING"
"2275","52.620191","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f6a8c28678ff17f4, PKN: 3, CRYPTO, PADDING"
"2276","52.620191","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f6a8c28678ff17f4, PKN: 4, CRYPTO, PADDING"
"2278","52.632888","142.251.221.35","192.168.32.32","QUIC","570","Protected Payload (KP0)"
"2281","52.633813","142.251.221.35","192.168.32.32","QUIC","64","Protected Payload (KP0)"
"2283","52.637756","142.251.221.35","192.168.32.32","QUIC","67","Protected Payload (KP0)"
"2286","52.640299","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x045d A www.googleadservices.com A 142.251.221.34"
"2287","52.643388","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f6a8c28678ff17f4"
"2288","52.643388","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f6a8c28678ff17f4"
"2289","52.643388","142.251.221.34","192.168.32.32","QUIC","1276","Protected Payload (KP0)"
"2290","52.643388","142.251.221.34","192.168.32.32","QUIC","82","Handshake, SCID=f6a8c28678ff17f4"
"2296","52.645150","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x8c65 HTTPS www.googleadservices.com HTTPS"
"2299","52.649133","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2300","52.649133","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2303","52.649468","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2304","52.649537","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"2306","52.651946","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f2a50c74866ed3a1, PKN: 1, ACK"
"2307","52.652672","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f2a50c74866ed3a1, PKN: 2, ACK, PADDING"
"2308","52.652672","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f2a50c74866ed3a1, PKN: 3, CRYPTO, PADDING"
"2309","52.652720","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f2a50c74866ed3a1, PKN: 4, CRYPTO, PADDING"
"2312","52.675410","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f2a50c74866ed3a1"
"2313","52.675410","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f2a50c74866ed3a1"
"2314","52.675410","142.251.221.34","192.168.32.32","QUIC","1263","Protected Payload (KP0)"
"2315","52.675410","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=f2a50c74866ed3a1"
"2317","52.676016","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2319","52.676467","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2324","52.681112","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2325","52.681112","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2327","52.681418","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2330","52.681844","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"2333","52.683338","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x1366 A www.googleadservices.com A 142.251.221.34"
"2334","52.688065","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x9c8c HTTPS www.googleadservices.com HTTPS"
"2337","52.694982","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f4ed5e603d9eb159, PKN: 1, ACK"
"2338","52.695531","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f4ed5e603d9eb159, PKN: 2, ACK, PADDING"
"2339","52.695531","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f4ed5e603d9eb159, PKN: 3, CRYPTO, PADDING"
"2340","52.695531","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f4ed5e603d9eb159, PKN: 4, CRYPTO, PADDING"
"2342","52.707369","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2343","52.707579","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2345","52.707803","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2349","52.709769","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x68e3 A www.googleadservices.com A 142.251.221.34"
"2350","52.714375","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x1418 HTTPS www.googleadservices.com HTTPS"
"2353","52.718276","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f4ed5e603d9eb159"
"2354","52.718276","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f4ed5e603d9eb159"
"2355","52.718276","142.251.221.34","192.168.32.32","QUIC","1261","Protected Payload (KP0)"
"2356","52.718276","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=f4ed5e603d9eb159"
"2361","52.721680","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=e7a7c0fcdf23d6e7, PKN: 1, ACK"
"2362","52.722266","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e7a7c0fcdf23d6e7, PKN: 2, ACK, PADDING"
"2363","52.722266","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e7a7c0fcdf23d6e7, PKN: 3, CRYPTO, PADDING"
"2364","52.722266","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e7a7c0fcdf23d6e7, PKN: 4, CRYPTO, PADDING"
"2366","52.723949","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2367","52.723949","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2370","52.724372","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2373","52.737716","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2374","52.745458","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e7a7c0fcdf23d6e7"
"2375","52.745458","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e7a7c0fcdf23d6e7"
"2376","52.745458","142.251.221.34","192.168.32.32","QUIC","1263","Protected Payload (KP0)"
"2377","52.745458","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=e7a7c0fcdf23d6e7"
"2385","52.748577","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0xc771 A www.googleadservices.com A 142.251.221.34"
"2386","52.749234","142.251.221.34","192.168.32.32","QUIC","308","Protected Payload (KP0)"
"2387","52.749677","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2389","52.751157","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2390","52.751157","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2393","52.751808","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2394","52.751939","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"2396","52.753258","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x0190 HTTPS www.googleadservices.com HTTPS"
"2399","52.760305","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=ee286df0fe86e18e, PKN: 1, ACK"
"2400","52.761376","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=ee286df0fe86e18e, PKN: 2, ACK, PADDING"
"2401","52.761376","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=ee286df0fe86e18e, PKN: 3, CRYPTO, PADDING"
"2402","52.761376","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=ee286df0fe86e18e, PKN: 4, CRYPTO, PADDING"
"2404","52.778045","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2406","52.778526","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2410","52.780415","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0xa059 A www.googleadservices.com A 142.251.221.34"
"2411","52.780972","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2412","52.784489","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=ee286df0fe86e18e"
"2413","52.784489","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=ee286df0fe86e18e"
"2414","52.784489","142.251.221.34","192.168.32.32","QUIC","1265","Protected Payload (KP0)"
"2415","52.784489","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=ee286df0fe86e18e"
"2417","52.784775","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x5438 HTTPS www.googleadservices.com HTTPS"
"2424","52.790671","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2425","52.790671","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2428","52.791308","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2429","52.791468","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"2431","52.792687","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=fb257d8bfa40cac6, PKN: 1, ACK"
"2432","52.793145","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=fb257d8bfa40cac6, PKN: 2, ACK, PADDING"
"2433","52.793145","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=fb257d8bfa40cac6, PKN: 3, CRYPTO, PADDING"
"2434","52.793145","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=fb257d8bfa40cac6, PKN: 4, CRYPTO, PADDING"
"2436","52.808292","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2438","52.816000","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=fb257d8bfa40cac6"
"2439","52.816000","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=fb257d8bfa40cac6"
"2440","52.816000","142.251.221.34","192.168.32.32","QUIC","1261","Protected Payload (KP0)"
"2441","52.816000","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=fb257d8bfa40cac6"
"2446","52.817675","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2447","52.818081","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2449","52.822019","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"2450","52.822019","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"2453","52.822512","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"2455","52.847579","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2456","52.847637","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"2457","52.847898","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"2459","52.848362","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2460","52.878021","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"2466","55.327749","104.18.32.47","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49572 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"2468","55.937951","142.251.220.193","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49686 [ACK] Seq=1 Ack=2 Win=1050 Len=0 SLE=1 SRE=2"
"2470","56.319294","142.251.8.84","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49537 [ACK] Seq=1 Ack=2 Win=1029 Len=0 SLE=1 SRE=2"
"2471","56.451252","182.161.73.172","192.168.32.32","TLSv1.3","93","Application Data"
"2474","56.483965","182.161.73.172","192.168.32.32","TLSv1.3","78","Application Data"
"2476","56.484206","182.161.73.172","192.168.32.32","TCP","60","443  >  49737 [FIN, ACK] Seq=1508 Ack=6658 Win=64512 Len=0"
"2477","56.512036","172.64.155.209","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49600 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"2478","56.635188","142.251.220.227","192.168.32.32","TLSv1.2","127","Application Data"
"2480","56.641770","142.251.220.227","192.168.32.32","TCP","60","443  >  49528 [FIN, ACK] Seq=74 Ack=3 Win=1047 Len=0"
"2484","57.091702","34.120.250.63","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49495 [ACK] Seq=1 Ack=2 Win=1034 Len=0 SLE=1 SRE=2"
"2486","58.217830","142.251.220.138","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49524 [ACK] Seq=1 Ack=2 Win=1050 Len=0 SLE=1 SRE=2"
"2489","59.084907","142.251.220.132","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49692 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2"
"2491","59.239933","142.251.220.195","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49693 [ACK] Seq=1 Ack=2 Win=1048 Len=0 SLE=1 SRE=2"
"2493","60.330865","146.75.23.42","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49539 [ACK] Seq=1 Ack=2 Win=318 Len=0 SLE=1 SRE=2"
"2495","60.656922","142.251.220.136","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49542 [ACK] Seq=1 Ack=2 Win=1047 Len=0 SLE=1 SRE=2"
"2500","60.901211","96.17.96.28","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49545 [ACK] Seq=1 Ack=2 Win=524 Len=0 SLE=1 SRE=2"
"2501","60.901602","96.17.96.28","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49543 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"2502","60.901639","96.17.96.28","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49546 [ACK] Seq=1 Ack=2 Win=523 Len=0 SLE=1 SRE=2"
"2503","60.932677","96.17.96.28","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49544 [ACK] Seq=1 Ack=2 Win=510 Len=0 SLE=1 SRE=2"
"2505","61.045033","142.251.220.132","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49556 [ACK] Seq=1 Ack=2 Win=1034 Len=0 SLE=1 SRE=2"
"2509","61.171050","142.251.220.195","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49560 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2"
"2510","61.371516","69.173.158.65","192.168.32.32","TLSv1.3","93","Application Data"
"2513","61.403963","69.173.158.65","192.168.32.32","TCP","60","443  >  49736 [ACK] Seq=5694 Ack=5031 Win=117600 Len=0"
"2514","61.404026","69.173.158.65","192.168.32.32","TCP","60","443  >  49736 [FIN, ACK] Seq=5694 Ack=5031 Win=117600 Len=0"
"2516","61.405885","142.251.220.132","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49561 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2"
"2518","61.514443","142.251.220.195","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49562 [ACK] Seq=1 Ack=2 Win=1048 Len=0 SLE=1 SRE=2"
"2521","62.449970","142.251.220.136","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49563 [ACK] Seq=1 Ack=2 Win=1047 Len=0 SLE=1 SRE=2"
"2529","64.281035","140.82.114.26","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  47054 [ACK] Seq=27 Ack=32 Win=70 Len=0 SLE=31 SRE=32"
"2533","65.424562","192.168.32.1","192.168.32.32","DNS","90","Standard query response 0x5b15 A www.google.com A 142.251.221.36"
"2534","65.425206","192.168.32.1","192.168.32.32","DNS","99","Standard query response 0xd822 HTTPS www.google.com HTTPS"
"2538","67.672303","34.120.250.63","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49566 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2"
"2539","67.678344","64.233.187.188","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  3636 [ACK] Seq=1 Ack=2 Win=1052 Len=0 SLE=1 SRE=2"
"2544","69.892841","142.251.220.132","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49565 [ACK] Seq=1 Ack=2 Win=1044 Len=0 SLE=1 SRE=2"
"2545","69.892832","142.251.220.132","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49567 [ACK] Seq=1 Ack=2 Win=1052 Len=0 SLE=1 SRE=2"
"2547","70.063412","142.251.220.202","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49568 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2"
"2548","71.018741","54.151.166.244","192.168.32.32","TCP","60","[TCP Keep-Alive] 443  >  49707 [ACK] Seq=1615 Ack=10605 Win=27 Len=0"
"2551","71.030534","142.251.220.174","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49571 [ACK] Seq=1 Ack=2 Win=1042 Len=0 SLE=1 SRE=2"
"2554","71.352570","142.251.220.234","192.168.32.32","TCP","66","[TCP Keep-Alive ACK] 443  >  49527 [ACK] Seq=1 Ack=2 Win=1051 Len=0 SLE=1 SRE=2"
"2555","71.604079","54.151.166.244","192.168.32.32","TLSv1.2","93","Application Data"
"2557","71.678721","54.151.166.244","192.168.32.32","TLSv1.2","78","Application Data"
"2558","71.678721","54.151.166.244","192.168.32.32","TCP","60","443  >  49707 [FIN, ACK] Seq=1679 Ack=10606 Win=27 Len=0"
"2560","72.402763","172.64.148.235","192.168.32.32","TLSv1.2","78","Application Data"
"2562","72.436033","172.64.148.235","192.168.32.32","TCP","60","443  >  46924 [ACK] Seq=97 Ack=113 Win=16 Len=0"
"2594","76.178769","34.120.63.153","192.168.32.32","TCP","60","443  >  49705 [ACK] Seq=2292 Ack=13432 Win=1000 Len=0"
"2595","76.178769","34.120.63.153","192.168.32.32","TCP","60","443  >  49705 [ACK] Seq=2292 Ack=13848 Win=999 Len=0"
"2596","76.178806","34.120.63.153","192.168.32.32","TCP","60","443  >  49705 [ACK] Seq=2292 Ack=13887 Win=999 Len=0"
"2597","76.178806","34.120.63.153","192.168.32.32","TCP","60","443  >  49705 [ACK] Seq=2292 Ack=15287 Win=994 Len=0"
"2598","76.179064","34.120.63.153","192.168.32.32","QUIC","82","Initial, SCID=e455a11cccf94192, PKN: 1, ACK"
"2599","76.179066","34.120.63.153","192.168.32.32","TLSv1.2","93","Application Data"
"2600","76.179066","34.120.63.153","192.168.32.32","TCP","60","443  >  49705 [ACK] Seq=2331 Ack=17949 Win=984 Len=0"
"2601","76.179158","34.120.63.153","192.168.32.32","QUIC","1292","Initial, SCID=e455a11cccf94192, PKN: 2, ACK, PADDING"
"2612","76.192589","34.120.63.153","192.168.32.32","QUIC","1292","Initial, SCID=e455a11cccf94192, PKN: 3, ACK, PADDING"
"2613","76.196260","106.10.218.155","192.168.32.32","TCP","60","443  >  49696 [ACK] Seq=2951 Ack=4437 Win=559 Len=0"
